Name,State,Party
Rohit Khanna,CA,Democratic
Austin Scott,GA,Republican
Joshua Gottheimer,NJ,Democratic
Susie Lee,NV,Democratic
Morris Brooks,AL,Republican
Mark Green,TN,Republican
Alan Lowenthal,CA,Democratic
Victoria Spartz,IN,Republican
Patrick Fallon,TX,Republican
Deborah Dingell,MI,Democratic
James Banks,IN,Republican
Kevin Hern,OK,Republican
Robert Wittman,VA,Republican
Thomas Tuberville,AL,Republican
Zoe Lofgren,CA,Democratic
Thomas Carper,DE,Democratic
Virginia Foxx,NC,Republican
Douglas Lamborn,CO,Republican
Roy Blunt,MO,Republican
David Cawthorn,NC,Republican
Earl Blumenauer,OR,Democratic
Trey Hollingsworth,IN,Republican
Walter Schrader,OR,Democratic
Thomas Suozzi,NY,Democratic
John Boozman,AR,Republican
Lloyd Doggett,TX,Democratic
Marie Newman,IL,Democratic
David Mckinley,VA,Republican
Katherine Clark,MA,Democratic
Lois Frankel,FL,Democratic
David Joyce,OH,Republican
Charles Fleischmann,TN,Republican
Kenneth Buck,CO,Republican
Addison Mcconnell,KY,Republican
Cynthia Lummis Wiederspahn,WY,Republican
Suzan Delbene,WA,Democratic
Dean Phillips,MN,Democratic
Marjorie Greene,GA,Republican
Michael Mccaul,TX,Republican
Cynthia Axne,IA,Democratic
Sheldon Whitehouse,RI,Democratic
Blake Moore,UT,Republican
Gerald Connolly,VA,Democratic
Shelley Capito,WV,Republican
Frederick Upton,MI,Republican
David Rouzer,NC,Republican
Diana Harshbarger,TN,Republican
Donald Beyer,VA,Democratic
Pete Sessions,TX,Republican
John Curtis,UT,Republican
Frank Pallone,NJ,Democratic
Stephanie Bice,OK,Republican
Brian Mast,FL,Republican
John Hickenlooper,CO,Democratic
James Langevin,RI,Democratic
Angus King,ME,Independent
Adam Schiff,CA,Democratic
Gary Peters,MI,Democratic
Kathy Castor,FL,Democratic
Roger Marshall,KS,Republican
Edwin Perlmutter,CO,Democratic
Robert Gibbs,OH,Republican
Edward Case,HI,Democratic
Richard Blumenthal,CT,Democratic
Sara Jacobs,CA,Democratic
Christopher Jacobs,NY,Republican
Michael Garcia,CA,Republican
Mike Kelly,PA,Republican
Mark Warner,VA,Democratic
David Kustoff,TN,Republican
William Keating,MA,Democratic
William Long,MO,Republican
Clifford Franklin,FL,Republican
William Francis Hagerty,TN,Republican
Andrew Garbarino,NY,Republican
Tomasz Malinowski,NJ,Democratic
Dwight Evans,PA,Democratic
Richard Allen,GA,Republican
Michael Simpson,ID,Republican
Kathy Manning,NC,Democratic
Richard Burr,NC,Republican
Deborah Ross,NC,Democratic
Mario Diaz-Balart Caballero,FL,Republican
Deborah Schultz,FL,Democratic
Hakeem Jeffries,NY,Democratic
Ronald Wyden,OR,Democratic
James Hill,AR,Republican
Garret Graves,LA,Republican
Tina Smith,MN,Democratic
Susan Lynn Brooks,IN,Republican
Ladda Duckworth,IL,Democratic
Daniel Meuser,PA,Republican
Ashley Hinson,IA,Republican
August Pfluger,TX,Republican
Elaine Luria,VA,Democratic
David Roe,TN,Republican
Anthony Gonzalez,OH,Republican
Harold Rogers,KY,Republican
Michael Gallagher,WI,Republican
Cheryl Bustos,IL,Democratic
Neal Dunn,DL,Republican
William Steube,FL,Republican
Rebecca Sherrill,NJ,Democratic
Daniel Chenshaw,TX,Republican
Daniel Sullivan,AK,Republican
John Yarmuth,KY,Democratic
John Rutherford,FL,Republican
Peter Meijer,MI,Republican
Patrick Toomey,PA,Republican
Gerald Moran,KS,Republican
Gregory Murphy,NC,Republican
Paul Cook,CA,Republican
James Inhofe,OK,Republican
Gilbert Cisneros,CA,Democratic
Robert 'Bobby' Scott,VA,Democratic
Judy Chu,CA,Democratic
Charles Roberts,AR,Republican
Gregory Gianforte,MT,Republican
Harley Rouda,CA,Democratic
Kenneth Conaway,TX,Republican
Bradley Schneider,IL,Democratic
James Comer,KY,Republican
Steven Watkins,KS,Republican
Peter Olson,TX,Republican
Gus Bilirakis,FL,Republican
William Huizenga,MI,Republican
Justin Amash,MI,Libertarian
Kenny Marchant,TX,Republican
Peter Welch,VT,Democratic
Joseph Morelle,NY,Democratic
Patrick Mchenry,NC,Republican
Jacklyn Rosen,NV,Democratic
Nancy Pelosi,CA,Democratic
William Cassidy,LA,Republican
Dennis Heck,WA,Democratic
Francis Rooney,FL,Republican
Susan Carol Davis,CA,Democratic
Donna Shalala,FL,Democratic
David Price,NC,Democratic
George Holding,NC,Republican
Joseph Courtney,CT,Democratic
Peter Visclosky,IN,Democratic
Lloyd Smucker,PA,Republican
Terrance Cox,CA,Democratic
William Timmons,SC,Republican
Warren Davidson,OH,Republican
Joseph Kennedy,MA,Democratic
Brian Higgins,NY,Democratic
Doris Okada Matsui,CA,Democratic
Daniel Lipinski,IL,Democratic
Anthony Gonzales,TX,Republican
Dianne Feinstein,CA,Democratic
Raúl Grijalva,AZ,Democratic
Theodore Yoho,FL,Republican
Carol Miller,WV,Republican
Scott Peters,CA,Democratic
Adam Kinzinger,IL,Republican
William Clay,MO,Democratic
Sean Maloney,NY,Democratic
Mac Thornberry,TX,Republican
Nita Lowey,NY,Democratic
David Perdue,GA,Republican
Steve Cohen,TN,Democratic
James Hagerdorn,MN,Republican
Steven Chabot,OH,Republican
Roger Wicker,MS,Republican
Kelly Loeffler,GA,Republican
Thomas O'halleran,AZ,Democratic
Hugh Rice,SC,Republican
David Trone,MD,Democratic
Nicholas Van Taylor,TX,Republican
Robert Latta,OH,Republican
Kimberly Schrier,WA,Democratic
Randal Paul,KY,Republican
Michael Guest,MS,Republican
Timothy Burchett,TN,Republican
Bill Pascrell,NJ,Democratic
Matthew Gaetz,FL,Republican
William Flores,TX,Republican
John Larson,CT,Democratic
Timothy Kaine,VA,Democratic
Grace Meng,NY,Democratic
